,URL,Status,price,type,subtype,country,region,province,district,locality,postalCode,street,number,box,floor,bedroomCount,netHabitableSurface,constructionYear,facadeCount,floorCount,hasLift,kitchen,hasGarden,gardenSurface,hasTerrace,terraceSurface,land,fireplaceExists,hasSwimmingPool,hasAirConditioning,bathroomCount,showerRoomCount,toiletCount,parkingCountIndoor,parkingCountOutdoor,parkingCountClosedBox,primaryEnergyConsumptionPerSqm,epcScore,hasDoubleGlazing,saleType
10626396,https://www.immoweb.be/en/classified/10626396,200,230000.0,APARTMENT,APARTMENT,Belgium,Flanders,Antwerp,Antwerp,Antwerpen,2600,Pretoriastraat,32,,2.0,1.0,,,2.0,,False,,,,True,3.0,,False,False,False,,1.0,,,,,,,True,
10618627,https://www.immoweb.be/en/classified/10618627,200,275000.0,APARTMENT,APARTMENT,Belgium,Flanders,West Flanders,Brugge,Aartrijke,8211,Steenstraat,"4,0.01",,0.0,2.0,100.0,2010.0,2.0,,False,INSTALLED,,,True,44.0,,False,False,,1.0,0.0,2.0,1.0,,,180.0,B,True,
10614919,https://www.immoweb.be/en/classified/10614919,200,459000.0,HOUSE,VILLA,Belgium,Flanders,West Flanders,Brugge,Ruddervoorde,8020,Vannekensstraat,7,,,3.0,,1984.0,4.0,,,INSTALLED,,,,,1198.0,False,,,1.0,0.0,,,,,299.0,C,,
10577505,https://www.immoweb.be/en/classified/10577505,200,830000.0,HOUSE,MIXED_USE_BUILDING,Belgium,Brussels,Brussels,Brussels,Jette,1090,Avenue Charles Woest,151,,,5.0,450.0,1950.0,2.0,,True,HYPER_EQUIPPED,True,150.0,True,30.0,340.0,True,,True,2.0,0.0,3.0,1.0,1.0,,,,True,
10577300,https://www.immoweb.be/en/classified/10577300,200,465000.0,HOUSE,HOUSE,Belgium,Brussels,Brussels,Brussels,Forest,1190,Rue Saint-Denis,345,,,5.0,285.0,1931.0,2.0,,,INSTALLED,True,100.0,,,195.0,False,,,2.0,0.0,2.0,1.0,1.0,,,,True,
10570810,https://www.immoweb.be/en/classified/10570810,200,249000.0,HOUSE,HOUSE,Belgium,Wallonie,Luxembourg,Neufchâteau,Libin,6890,Rue de Glaireuse,130,,,4.0,130.0,1874.0,4.0,,,,True,,True,55.0,1200.0,True,,,1.0,1.0,2.0,,3.0,,279.0,D,True,
10554021,https://www.immoweb.be/en/classified/10554021,200,324000.0,HOUSE,HOUSE,Belgium,Flanders,Flemish Brabant,Halle-Vilvoorde,Londerzeel,1840,Nieuwstraat,3,,,3.0,105.0,1999.0,3.0,,,SEMI_EQUIPPED,,,True,62.0,168.0,True,,,1.0,0.0,2.0,,2.0,,189.0,B,True,
10471674,https://www.immoweb.be/en/classified/10471674,200,150000.0,HOUSE,HOUSE,Belgium,Flanders,West Flanders,Diksmuide,Diksmuide,8600,Veurnestraat,"6,",,,4.0,172.0,1930.0,3.0,,False,,True,80.0,,,165.0,False,False,,1.0,0.0,2.0,,,,653.0,F,False,
10471673,https://www.immoweb.be/en/classified/10471673,200,499000.0,HOUSE,HOUSE,Belgium,Flanders,West Flanders,Diksmuide,Diksmuide,8600,Pervijzestraat,"17,",,,4.0,519.0,1930.0,3.0,,False,INSTALLED,True,500.0,,,760.0,False,False,,4.0,0.0,5.0,1.0,,,291.0,C,False,
10471535,https://www.immoweb.be/en/classified/10471535,200,255000.0,HOUSE,HOUSE,Belgium,Flanders,Flemish Brabant,Halle-Vilvoorde,Asse,1730,Marlier,36,,,3.0,172.0,,1.0,,False,,True,1.0,,,180.0,False,False,False,,0.0,,,,,466.0,E,False,
10456986,https://www.immoweb.be/en/classified/10456986,200,474500.0,APARTMENT,APARTMENT,Belgium,Flanders,East Flanders,Gent,Gent,9000,Nieuwewandeling,79,101,1.0,3.0,140.0,1970.0,,6.0,True,,,,True,14.0,,False,,False,1.0,0.0,1.0,,,,,,True,
10421066,https://www.immoweb.be/en/classified/10421066,200,370000.0,HOUSE,VILLA,Belgium,Wallonie,Hainaut,Mons,Honnelles,7387,Route de Bavay,30,,,3.0,320.0,,4.0,,False,,,,,,1512.0,False,False,,1.0,0.0,,1.0,,,371.0,E,True,
10397785,https://www.immoweb.be/en/classified/10397785,200,310000.0,HOUSE,COUNTRY_COTTAGE,Belgium,Wallonie,Hainaut,Soignies,Ollignies,7866,rue des Combattants,200,,,4.0,170.0,1920.0,4.0,,,INSTALLED,True,800.0,True,20.0,1008.0,False,,,1.0,1.0,2.0,1.0,4.0,,304.0,D,True,
10331447,https://www.immoweb.be/en/classified/10331447,200,107000.0,APARTMENT,FLAT_STUDIO,Belgium,Flanders,Antwerp,Antwerp,Antwerp,2170,Groenendaallaan,72, 2,0.0,1.0,35.0,1978.0,2.0,,,SEMI_EQUIPPED,,,,,,True,,,1.0,0.0,1.0,1.0,,,259.0,C,True,
10330751,https://www.immoweb.be/en/classified/10330751,200,399000.0,HOUSE,MIXED_USE_BUILDING,Belgium,Brussels,Brussels,Brussels,Bruxelles ville,1000,Rue Blaes,"193,",,,4.0,268.0,1900.0,2.0,,,,,,,,268.0,False,,,,4.0,,,,,,,,
10132944,https://www.immoweb.be/en/classified/10132944,200,1250000.0,APARTMENT,APARTMENT,Belgium,Brussels,Brussels,Brussels,Ixelles,1050,Rue aux laines,,,0.0,2.0,217.0,,2.0,,,HYPER_EQUIPPED,True,124.0,True,15.0,,True,,,1.0,0.0,2.0,,,,208.0,D,,
10110566,https://www.immoweb.be/en/classified/10110566,200,180000.0,HOUSE,HOUSE,Belgium,Wallonie,Hainaut,Charleroi,Wanfercée-Baulet,6224,Rue des Couturelles,26,,,3.0,128.0,,3.0,,,NOT_INSTALLED,,,,,0.0,True,,,1.0,0.0,2.0,,,,230.0,C,True,
